SSC_CODE_2016,M_0_4_yrs_Need_for_assistance,M_0_4_No_need_for_assistance,M_0_4_Need_for_assistance_ns,M_0_4_yrs_Tot,M_5_14_Need_for_assistance,M_5_14_No_need_for_assistance,M_5_14_Need_for_assistance_ns,M_5_14_yrs_Tot,M_15_19_Need_for_assistance,M_15_19_No_need_for_assistnce,M_15_19_Need_for_assistnce_ns,M_15_19_yrs_Tot,M_20_24_Need_for_assistance,M_20_24_No_need_for_assistnce,M_20_24_Need_for_assistnce_ns,M_20_24_yrs_Tot,M_25_34_Need_for_assistance,M_25_34_No_need_for_assistnce,M_25_34_Need_for_assistnce_ns,M_25_34_yrs_Tot,M_35_44_Need_for_assistance,M_35_44_No_need_for_assistnce,M_35_44_Need_for_assistnce_ns,M_35_44_yrs_Tot,M_45_54_Need_for_assistance,M_45_54_No_need_for_assistnce,M_45_54_Need_for_assistnce_ns,M_45_54_yrs_Tot,M_55_64_Need_for_assistance,M_55_64_No_need_for_assistnce,M_55_64_Need_for_assistnce_ns,M_55_64_yrs_Tot,M_65_74_Need_for_assistance,M_65_74_No_need_for_assistnce,M_65_74_Need_for_assistnce_ns,M_65_74_yrs_Tot,M_75_84_Need_for_assistance,M_75_84_No_need_for_assistnce,M_75_84_Need_for_assistnce_ns,M_75_84_yrs_Tot,M_85_over_Need_for_assistance,M_85_ov_No_need_for_assistnce,M_85_ov_Need_for_assistnce_ns,M_85_yrs_over_Tot,M_Tot_Need_for_assistance,M_Tot_No_need_for_assistance,M_Tot_Need_for_assistance_ns,M_Tot_Tot,F_0_4_yrs_Need_for_assistance,F_0_4_No_need_for_assistance,F_0_4_Need_for_assistance_ns,F_0_4_yrs_Tot,F_5_14_Need_for_assistance,F_5_14_No_need_for_assistance,F_5_14_Need_for_assistance_ns,F_5_14_yrs_Tot,F_15_19_Need_for_assistance,F_15_19_No_need_for_assistnce,F_15_19_Need_for_assistnce_ns,F_15_19_yrs_Tot,F_20_24_Need_for_assistance,F_20_24_No_need_for_assistnce,F_20_24_Need_for_assistnce_ns,F_20_24_yrs_Tot,F_25_34_Need_for_assistance,F_25_34_No_need_for_assistnce,F_25_34_Need_for_assistnce_ns,F_25_34_yrs_Tot,F_35_44_Need_for_assistance,F_35_44_No_need_for_assistnce,F_35_44_Need_for_assistnce_ns,F_35_44_yrs_Tot,F_45_54_Need_for_assistance,F_45_54_No_need_for_assistnce,F_45_54_Need_for_assistnce_ns,F_45_54_yrs_Tot,F_55_64_Need_for_assistance,F_55_64_No_need_for_assistnce,F_55_64_Need_for_assistnce_ns,F_55_64_yrs_Tot,F_65_74_Need_for_assistance,F_65_74_No_need_for_assistnce,F_65_74_Need_for_assistnce_ns,F_65_74_yrs_Tot,F_75_84_Need_for_assistance,F_75_84_No_need_for_assistnce,F_75_84_Need_for_assistnce_ns,F_75_84_yrs_Tot,F_85_over_Need_for_assistance,F_85_ov_No_need_for_assistnce,F_85_ov_Need_for_assistnce_ns,F_85_yrs_over_Tot,F_Tot_Need_for_assistance,F_Tot_No_need_for_assistance,F_Tot_Need_for_assistance_ns,F_Tot_Tot,P_0_4_yrs_Need_for_assistance,P_0_4_No_need_for_assistance,P_0_4_Need_for_assistance_ns,P_0_4_yrs_Tot,P_5_14_Need_for_assistance,P_5_14_No_need_for_assistance,P_5_14_Need_for_assistance_ns,P_5_14_yrs_Tot,P_15_19_Need_for_assistance,P_15_19_No_need_for_assistnce,P_15_19_Need_for_assistnce_ns,P_15_19_yrs_Tot,P_20_24_Need_for_assistance,P_20_24_No_need_for_assistnce,P_20_24_Need_for_assistnce_ns,P_20_24_yrs_Tot,P_25_34_Need_for_assistance,P_25_34_No_need_for_assistnce,P_25_34_Need_for_assistnce_ns,P_25_34_yrs_Tot,P_35_44_Need_for_assistance,P_35_44_No_need_for_assistnce,P_35_44_Need_for_assistnce_ns,P_35_44_yrs_Tot,P_45_54_Need_for_assistance,P_45_54_No_need_for_assistnce,P_45_54_Need_for_assistnce_ns,P_45_54_yrs_Tot,P_55_64_Need_for_assistance,P_55_64_No_need_for_assistnce,P_55_64_Need_for_assistnce_ns,P_55_64_yrs_Tot,P_65_74_Need_for_assistance,P_65_74_No_need_for_assistnce,P_65_74_Need_for_assistnce_ns,P_65_74_yrs_Tot,P_75_84_Need_for_assistance,P_75_84_No_need_for_assistnce,P_75_84_Need_for_assistnce_ns,P_75_84_yrs_Tot,P_85_over_Need_for_assistance,P_85_ov_No_need_for_assistnce,P_85_ov_Need_for_assistnce_ns,P_85_yrs_over_Tot,P_Tot_Need_for_assistance,P_Tot_No_need_for_assistance,P_Tot_Need_for_assistance_ns,P_Tot_Tot
SSC70011,0,22,4,30,3,59,13,78,3,45,8,61,0,35,10,42,0,44,11,59,3,47,6,57,3,31,12,43,4,13,12,25,0,8,0,12,0,0,0,0,0,0,0,0,25,302,79,403,0,19,5,26,0,66,10,75,0,58,12,71,3,26,9,41,0,62,17,78,4,45,8,65,4,39,9,56,6,18,12,31,6,4,0,6,0,0,5,6,0,0,0,0,23,338,86,455,0,42,15,55,3,128,30,158,4,107,21,131,3,61,15,81,4,107,28,141,10,87,21,118,11,73,15,98,11,26,22,54,3,10,0,15,0,0,7,4,0,0,0,0,49,640,165,855
SSC70012,0,5,0,5,0,10,0,10,0,3,0,3,0,5,0,5,0,15,3,21,0,4,0,3,0,3,0,3,0,8,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,54,7,62,0,4,0,4,0,12,0,12,0,3,0,3,0,3,0,3,0,12,3,18,3,5,0,5,0,3,0,3,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,3,50,4,59,0,16,0,16,0,24,0,24,0,7,0,6,0,6,0,6,0,33,7,38,3,11,0,10,0,9,0,9,0,4,0,4,3,0,0,3,0,0,0,0,0,0,0,0,3,101,8,117
SSC70013,0,18,0,18,0,46,0,46,0,16,0,16,0,14,0,14,0,24,5,34,0,32,3,38,3,26,0,29,3,7,3,13,3,11,0,18,3,0,0,3,0,0,0,0,16,191,12,225,0,18,0,16,0,42,0,41,0,17,3,20,0,14,0,14,0,38,3,37,0,33,3,40,3,31,5,33,10,15,0,25,6,3,0,10,11,0,0,9,3,0,0,3,33,209,12,251,0,33,0,38,0,81,0,87,0,28,3,30,0,27,0,27,0,65,6,69,6,71,4,76,3,54,6,64,14,28,4,40,8,14,3,30,9,3,0,12,3,0,0,3,47,402,32,477
SSC70014,0,77,8,84,7,161,18,185,3,65,3,69,0,63,6,76,0,139,24,164,3,149,17,164,6,142,14,159,4,127,12,145,0,74,10,85,0,20,3,24,0,3,0,3,32,1028,107,1172,3,83,13,96,3,177,22,207,0,69,4,71,0,72,5,76,3,143,19,167,3,165,12,184,3,144,14,161,6,124,8,144,7,58,6,68,8,14,0,22,0,0,0,0,40,1055,103,1199,3,160,16,182,17,342,38,393,4,131,9,142,0,135,13,147,3,288,41,336,5,315,32,350,13,286,24,325,12,254,25,290,10,126,19,155,10,35,3,45,0,3,0,4,73,2086,211,2369
SSC70015,0,114,6,120,9,188,16,209,6,77,11,91,0,59,15,79,0,171,18,185,3,169,14,184,3,173,19,196,7,148,13,171,3,48,3,54,0,16,4,24,3,3,0,3,41,1162,117,1322,4,117,11,127,0,196,19,222,0,61,3,69,4,57,8,68,0,195,26,223,3,199,16,214,4,189,26,211,9,128,21,164,9,51,9,65,3,16,4,18,3,0,4,7,39,1204,144,1386,6,227,18,251,10,387,39,428,6,141,12,163,3,116,22,141,0,369,43,407,3,361,31,404,8,357,43,409,15,280,41,329,14,94,10,118,0,34,10,49,6,3,4,11,76,2366,263,2706
SSC70016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC70017,0,6,0,6,0,13,0,13,0,7,0,7,0,9,3,13,0,13,3,14,0,12,0,9,0,3,0,3,5,3,3,13,3,3,0,4,0,0,0,0,0,0,0,0,8,73,12,93,0,11,0,11,0,12,0,12,0,3,0,3,0,9,5,20,0,16,0,16,0,13,0,15,0,9,0,10,3,14,0,12,0,8,0,8,0,0,0,0,0,0,0,0,5,94,13,109,0,12,0,12,0,23,0,23,0,15,0,15,0,16,15,34,0,29,8,33,0,28,0,29,0,16,0,14,6,13,3,25,3,10,0,15,0,0,0,0,0,0,0,0,15,162,19,195
SSC70018,0,0,0,5,0,8,0,8,0,0,0,0,0,0,0,0,0,0,3,3,0,3,3,3,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,12,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,5,0,0,0,4,0,8,0,8,0,0,0,0,0,0,0,0,0,0,3,3,0,3,3,9,0,4,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,15,27
SSC70019,0,7,3,12,0,13,3,18,0,6,8,9,0,7,0,7,0,18,0,18,0,21,4,28,0,16,3,20,3,17,0,17,3,6,0,8,0,0,0,0,0,0,0,0,3,114,22,138,0,4,0,9,0,16,6,19,0,11,0,11,0,3,5,7,0,26,0,26,0,14,4,14,0,18,0,14,5,16,3,25,0,8,0,8,0,0,0,0,0,0,0,0,5,110,17,137,0,11,5,16,0,33,4,37,0,15,8,19,0,9,5,12,0,47,0,47,0,31,9,43,0,35,3,37,6,31,3,39,3,16,0,18,0,0,0,0,0,0,0,0,13,223,34,268
SSC70020,0,10,0,8,0,30,0,30,0,6,0,7,0,7,0,9,0,12,0,10,0,16,0,17,0,7,3,13,0,4,3,11,0,3,0,3,0,0,0,3,0,0,0,0,5,96,11,107,0,11,0,14,0,24,0,25,0,8,0,8,0,9,0,9,0,19,0,25,0,11,0,11,0,9,0,9,0,7,0,8,0,5,0,4,0,0,0,0,0,0,0,0,4,104,4,112,0,22,3,22,0,54,0,54,0,11,0,15,0,18,0,17,0,33,0,39,0,30,0,29,0,19,3,21,0,13,0,17,0,3,0,11,3,0,0,6,0,0,0,0,9,201,13,224
SSC70021,0,11,0,12,0,15,0,16,0,3,6,8,0,9,9,24,0,10,19,33,0,4,7,13,0,11,4,13,0,5,0,7,0,0,0,3,0,0,0,5,0,0,0,0,3,68,54,127,0,5,0,6,0,21,10,33,0,4,0,6,0,10,4,13,0,8,12,22,0,8,5,11,0,12,5,19,3,0,5,7,4,3,0,5,0,0,0,0,0,0,0,0,7,76,39,125,0,8,3,10,0,32,11,48,0,11,5,14,0,16,19,33,0,19,33,52,0,14,14,27,0,20,10,30,4,8,5,17,3,3,0,8,0,0,0,5,0,0,0,0,8,141,94,249
SSC70022,4,131,4,142,13,190,15,220,0,76,5,83,0,109,6,115,0,303,20,322,0,236,11,253,6,191,11,208,3,111,17,126,3,36,3,40,4,7,0,10,0,0,0,0,32,1389,103,1525,0,127,6,132,5,194,7,206,3,87,3,92,0,122,5,128,0,282,20,298,0,259,23,286,3,191,10,203,3,109,17,120,9,33,7,44,5,17,0,22,0,0,0,0,27,1416,103,1543,3,254,16,277,17,383,30,427,3,160,12,177,0,228,14,240,0,581,40,626,0,501,38,542,8,379,22,411,6,214,27,250,5,68,8,85,8,28,0,39,0,0,0,4,57,2806,206,3069
SSC70023,0,18,0,13,0,31,0,35,0,16,0,16,0,18,0,18,0,33,0,37,7,17,0,20,0,18,0,18,0,7,0,6,0,3,0,4,0,3,0,3,0,0,0,0,6,157,3,170,0,23,0,28,0,31,0,31,0,8,0,11,0,19,3,18,0,45,3,50,3,13,0,17,0,23,0,24,6,3,0,12,5,7,0,8,0,0,0,0,0,0,0,0,11,176,5,189,0,37,4,38,0,66,0,67,0,23,0,25,0,28,3,32,3,83,3,90,7,30,0,32,0,38,0,37,5,8,0,15,5,7,0,11,0,3,0,3,0,0,0,0,16,332,11,363
SSC70024,0,19,0,18,0,24,7,31,0,19,0,18,0,8,4,13,0,17,3,23,0,15,6,25,0,42,11,50,0,29,3,37,3,23,10,39,0,5,0,10,0,0,0,0,5,208,50,259,0,17,3,20,0,35,4,42,0,12,0,9,0,8,3,13,0,28,6,27,0,25,10,27,0,39,3,40,3,28,12,35,0,13,5,15,0,7,0,7,0,0,0,4,5,197,41,248,0,32,4,35,0,58,16,71,0,29,0,32,0,19,5,28,0,41,6,52,0,35,12,50,0,81,9,93,0,58,13,70,0,37,18,55,0,15,0,11,0,3,0,8,10,406,93,507
SSC70025,0,47,3,52,0,81,5,92,0,62,11,65,0,79,20,98,0,168,20,185,0,114,15,124,0,124,15,136,0,82,6,88,6,36,3,39,3,6,0,8,0,3,0,3,11,791,93,889,0,49,0,47,3,100,3,104,0,44,6,52,0,51,0,52,0,142,12,160,0,111,10,124,7,108,13,127,0,84,7,89,0,28,0,32,0,7,0,7,0,0,0,4,15,724,54,790,0,96,3,104,6,178,11,194,3,106,10,121,0,124,20,148,0,306,33,346,0,222,19,246,7,236,26,260,3,158,10,173,5,61,7,72,3,10,0,12,4,4,0,4,24,1511,144,1683
SSC70026,0,21,0,19,0,54,3,56,0,26,5,24,0,26,5,28,0,34,3,40,0,52,4,57,5,73,8,82,3,57,6,68,3,30,3,37,3,9,3,15,0,0,0,3,14,381,41,439,0,23,0,28,0,47,5,53,0,22,0,22,0,24,0,28,0,28,3,35,0,54,4,57,0,59,5,67,0,46,8,59,0,34,3,35,0,6,3,11,3,0,0,4,12,350,37,400,0,42,0,45,0,103,8,110,0,47,5,47,0,49,9,56,0,70,5,73,0,107,9,116,3,129,16,150,4,104,19,122,5,63,7,72,5,17,5,22,5,3,0,4,19,731,82,838
SSC70027,0,163,13,170,14,186,13,210,0,72,4,76,3,93,5,103,7,254,13,275,0,187,8,200,3,101,9,113,5,46,5,52,0,19,0,17,3,7,0,12,0,3,0,4,37,1119,67,1229,0,152,4,156,7,203,10,218,3,53,5,63,0,102,7,112,7,268,16,293,3,180,16,198,3,70,7,84,3,48,3,58,8,26,0,33,6,9,3,23,0,0,0,0,43,1117,77,1235,3,311,19,328,19,390,21,433,3,127,10,136,4,191,18,214,5,526,29,562,3,368,26,395,3,172,22,200,7,92,7,108,6,42,0,53,10,18,6,29,3,3,0,3,80,2233,147,2458
SSC70028,0,0,0,0,0,10,3,16,0,12,0,12,0,8,0,8,0,16,0,16,0,8,0,15,3,6,0,12,3,7,0,10,4,0,0,3,0,0,0,0,0,0,0,0,8,79,7,92,0,4,0,10,0,13,0,13,0,3,0,3,0,10,0,10,0,13,0,13,0,8,0,10,0,10,0,9,0,9,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,70,0,71,0,7,0,7,0,19,3,22,0,20,0,20,0,20,0,20,0,28,0,24,0,22,0,23,3,23,0,23,3,10,0,15,4,0,0,7,0,0,0,0,0,0,0,0,12,143,5,164
SSC70029,0,13,0,16,0,49,25,77,0,57,9,59,0,26,4,27,0,39,4,43,0,36,10,43,0,49,10,58,3,41,12,56,3,27,11,33,3,3,0,5,0,0,0,0,12,331,75,425,3,20,3,20,0,31,25,52,0,48,13,58,0,18,0,21,0,33,9,42,0,37,4,41,0,39,9,51,3,25,8,41,6,13,10,24,0,5,0,4,0,0,0,0,11,274,76,361,5,33,3,41,0,85,43,128,0,104,15,116,0,43,8,52,0,75,12,89,3,66,9,81,6,89,19,108,4,68,21,98,6,43,18,61,8,3,0,9,0,0,0,3,30,605,152,789
SSC70030,0,31,3,37,0,55,6,65,0,24,9,31,0,17,0,18,0,61,3,64,0,57,11,67,0,48,15,61,6,57,10,68,0,25,0,27,0,7,0,7,0,0,0,0,14,371,57,438,0,28,5,31,0,42,6,55,0,18,7,25,0,22,3,31,0,43,3,44,0,57,12,69,6,49,3,54,0,34,8,41,5,19,3,24,0,0,0,3,0,0,0,0,12,316,46,375,0,62,8,74,0,99,16,117,0,40,12,51,0,43,5,44,0,100,12,109,0,117,19,134,8,90,19,115,6,91,12,110,4,36,7,53,0,4,0,10,0,0,0,3,20,688,109,818
SSC70031,0,24,0,25,0,47,0,53,0,18,0,18,0,30,0,31,0,44,0,44,0,32,0,29,0,22,0,22,3,12,0,16,0,4,0,3,0,0,0,0,0,0,0,0,11,237,4,246,0,36,0,36,0,59,0,61,0,26,0,26,0,30,0,30,3,46,0,49,0,27,0,27,0,33,3,34,3,16,0,12,3,4,0,9,0,0,0,0,0,0,0,0,6,275,3,284,0,62,0,58,4,106,0,109,0,45,0,45,0,60,4,60,3,92,0,96,0,62,0,64,0,54,3,56,3,23,0,27,7,10,0,11,0,0,0,0,0,0,0,0,16,513,7,531
