SSC_CODE_2016,M_15_19_yr_Volunteer,M_15_19_yr_N_a_volunteer,M_15_19_yr_Voluntary_work_ns,M_15_19_yr_Tot,M_20_24_yr_Volunteer,M_20_24_yr_N_a_volunteer,M_20_24_yr_Voluntary_work_ns,M_20_24_yr_Tot,M_25_34_yr_Volunteer,M_25_34_yr_N_a_volunteer,M_25_34_yr_Voluntary_work_ns,M_25_34_yr_Tot,M_35_44_yr_Volunteer,M_35_44_yr_N_a_volunteer,M_35_44_yr_Voluntary_work_ns,M_35_44_yr_Tot,M_45_54_yr_Volunteer,M_45_54_yr_N_a_volunteer,M_45_54_yr_Voluntary_work_ns,M_45_54_yr_Tot,M_55_64_yr_Volunteer,M_55_64_yr_N_a_volunteer,M_55_64_yr_Voluntary_work_ns,M_55_64_yr_Tot,M_65_74_yr_Volunteer,M_65_74_yr_N_a_volunteer,M_65_74_yr_Voluntary_work_ns,M_65_74_yr_Tot,M_75_84_yr_Volunteer,M_75_84_yr_N_a_volunteer,M_75_84_yr_Voluntary_work_ns,M_75_84_yr_Tot,M_85ov_Volunteer,M_85ov_N_a_volunteer,M_85_ov_Voluntary_work_ns,M_85ov_Tot,M_Tot_Volunteer,M_Tot_N_a_volunteer,M_Tot_Voluntary_work_ns,M_Tot_Tot,F_15_19_yr_Volunteer,F_15_19_yr_N_a_volunteer,F_15_19_yr_Voluntary_work_ns,F_15_19_yr_Tot,F_20_24_yr_Volunteer,F_20_24_yr_N_a_volunteer,F_20_24_yr_Voluntary_work_ns,F_20_24_yr_Tot,F_25_34_yr_Volunteer,F_25_34_yr_N_a_volunteer,F_25_34_yr_Voluntary_work_ns,F_25_34_yr_Tot,F_35_44_yr_Volunteer,F_35_44_yr_N_a_volunteer,F_35_44_yr_Voluntary_work_ns,F_35_44_yr_Tot,F_45_54_yr_Volunteer,F_45_54_yr_N_a_volunteer,F_45_54_yr_Voluntary_work_ns,F_45_54_yr_Tot,F_55_64_yr_Volunteer,F_55_64_yr_N_a_volunteer,F_55_64_yr_Voluntary_work_ns,F_55_64_yr_Tot,F_65_74_yr_Volunteer,F_65_74_yr_N_a_volunteer,F_65_74_yr_Voluntary_work_ns,F_65_74_yr_Tot,F_75_84_yr_Volunteer,F_75_84_yr_N_a_volunteer,F_75_84_yr_Voluntary_work_ns,F_75_84_yr_Tot,F_85ov_Volunteer,F_85ov_N_a_volunteer,F_85_ov_Voluntary_work_ns,F_85ov_Tot,F_Tot_Volunteer,F_Tot_N_a_volunteer,F_Tot_Voluntary_work_ns,F_Tot_Tot,P_15_19_yr_Volunteer,P_15_19_yr_N_a_volunteer,P_15_19_yr_Voluntary_work_ns,P_15_19_yr_Tot,P_20_24_yr_Volunteer,P_20_24_yr_N_a_volunteer,P_20_24_yr_Voluntary_work_ns,P_20_24_yr_Tot,P_25_34_yr_Volunteer,P_25_34_yr_N_a_volunteer,P_25_34_yr_Voluntary_work_ns,P_25_34_yr_Tot,P_35_44_yr_Volunteer,P_35_44_yr_N_a_volunteer,P_35_44_yr_Voluntary_work_ns,P_35_44_yr_Tot,P_45_54_yr_Volunteer,P_45_54_yr_N_a_volunteer,P_45_54_yr_Voluntary_work_ns,P_45_54_yr_Tot,P_55_64_yr_Volunteer,P_55_64_yr_N_a_volunteer,P_55_64_yr_Voluntary_work_ns,P_55_64_yr_Tot,P_65_74_yr_Volunteer,P_65_74_yr_N_a_volunteer,P_65_74_yr_Voluntary_work_ns,P_65_74_yr_Tot,P_75_84_yr_Volunteer,P_75_84_yr_N_a_volunteer,P_75_84_yr_Voluntary_work_ns,P_75_84_yr_Tot,P_85ov_Volunteer,P_85ov_N_a_volunteer,P_85_ov_Voluntary_work_ns,P_85ov_Tot,P_Tot_Volunteer,P_Tot_N_a_volunteer,P_Tot_Voluntary_work_ns,P_Tot_Tot
SSC70013,3,13,0,16,0,8,0,14,8,18,6,34,4,28,3,38,3,24,3,29,3,12,0,13,0,9,3,18,0,3,0,3,0,0,0,0,24,116,19,162,3,13,3,20,3,8,0,14,4,30,0,37,3,29,3,40,3,28,3,33,5,23,0,25,0,14,0,10,0,9,0,9,0,3,0,3,23,159,11,197,8,23,5,30,5,17,0,27,14,50,8,69,8,60,5,76,11,47,10,64,9,37,0,40,0,26,3,30,0,12,0,12,0,3,0,3,46,278,33,354
SSC70014,10,52,3,69,7,61,7,76,22,124,19,164,40,113,17,164,41,108,11,159,28,103,11,145,21,57,10,85,3,18,0,24,0,4,0,3,180,638,81,896,14,51,4,71,17,46,9,76,29,121,18,167,45,119,15,184,34,114,14,161,46,91,15,144,24,40,4,68,3,16,0,22,0,0,0,0,220,610,71,902,29,107,9,142,23,110,13,147,53,248,35,336,89,238,27,350,78,223,23,325,75,195,23,290,45,95,18,155,5,36,4,45,0,8,0,4,395,1251,151,1799
SSC70015,20,64,9,91,9,52,10,79,29,143,16,185,46,121,10,184,53,124,20,196,45,115,15,171,20,36,3,54,9,13,5,24,0,3,0,3,221,675,90,991,18,43,11,69,14,45,9,68,46,158,22,223,60,138,22,214,61,129,24,211,40,98,20,164,19,34,8,65,3,17,4,18,0,3,4,7,263,664,116,1041,31,111,19,163,24,100,21,141,75,301,37,407,111,262,30,404,109,257,42,409,86,213,36,329,40,69,12,118,8,30,7,49,0,9,4,11,481,1338,208,2028
SSC70016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC70017,0,7,3,7,0,8,5,13,0,14,3,14,0,9,0,9,0,3,0,3,0,11,4,13,0,4,0,4,0,0,0,0,0,0,0,0,0,58,12,73,0,0,0,3,0,10,9,20,0,11,0,16,0,17,0,15,0,10,0,10,0,15,0,12,0,4,0,8,0,0,0,0,0,0,0,0,4,71,17,89,0,7,3,15,0,18,11,34,0,27,3,33,0,25,0,29,0,14,0,14,0,20,5,25,0,14,0,15,0,0,0,0,0,0,0,0,3,125,29,161
SSC70018,0,0,0,0,0,0,0,0,0,0,3,3,0,0,3,3,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,0,0,0,0,0,0,0,0,0,3,3,0,4,3,9,0,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,14,19
SSC70019,0,5,6,9,0,7,0,7,0,17,0,18,0,21,7,28,0,20,0,20,6,9,0,17,3,9,0,8,0,0,0,0,0,0,0,0,10,87,10,105,3,3,0,11,0,6,4,7,7,21,0,26,0,10,3,14,0,17,0,14,3,13,7,25,0,7,0,8,0,0,0,0,0,0,0,0,16,85,7,109,3,13,5,19,0,7,4,12,7,36,0,47,0,34,9,43,0,31,0,37,9,29,7,39,3,17,0,18,0,0,0,0,0,0,0,0,22,172,21,215
SSC70020,0,7,0,7,0,9,6,9,0,11,0,10,3,15,0,17,0,9,3,13,0,6,0,11,0,0,0,3,0,0,0,3,0,0,0,0,5,61,11,72,0,7,3,8,0,7,0,9,0,18,3,25,0,11,0,11,0,9,0,9,0,7,0,8,0,3,3,4,0,0,0,0,0,0,0,0,0,66,7,77,0,14,3,15,0,13,3,17,0,29,4,39,3,24,0,29,0,16,3,21,0,16,3,17,0,8,3,11,0,3,0,6,0,0,0,0,5,126,17,146
SSC70021,0,3,3,8,0,8,9,24,0,11,22,33,0,4,6,13,0,11,4,13,4,6,0,7,0,3,0,3,0,4,0,5,0,0,0,0,10,40,49,99,0,4,0,6,3,5,4,13,0,13,9,22,5,6,5,11,5,12,3,19,3,7,4,7,3,4,0,5,0,0,0,0,0,0,0,0,19,43,28,91,0,7,4,14,4,15,14,33,0,18,27,52,6,5,10,27,3,15,6,30,5,10,5,17,3,3,0,8,0,4,0,5,0,0,0,0,25,87,81,187
SSC70022,7,63,9,83,15,99,8,115,33,268,22,322,43,193,16,253,37,160,15,208,14,103,11,126,11,28,3,40,0,10,0,10,0,0,0,0,155,923,86,1172,22,68,3,92,16,101,7,128,60,219,25,298,71,198,25,286,50,146,10,203,19,88,14,120,8,32,3,44,8,15,0,22,0,0,0,0,247,871,88,1202,31,131,17,177,27,198,16,240,90,484,46,626,113,388,38,542,83,301,28,411,31,191,28,250,16,65,6,85,11,30,0,39,0,4,0,4,398,1797,171,2371
SSC70023,0,16,0,16,0,18,0,18,5,36,0,37,3,15,3,20,0,17,0,18,0,8,0,6,0,3,0,4,0,3,0,3,0,0,0,0,13,105,3,116,0,11,0,11,0,12,3,18,8,35,4,50,0,15,0,17,6,15,0,24,0,5,0,12,0,8,0,8,0,0,0,0,0,0,0,0,14,108,9,131,0,25,0,25,0,31,3,32,10,69,5,90,4,31,3,32,6,33,0,37,0,16,0,15,0,8,0,11,0,3,0,3,0,0,0,0,23,216,17,250
SSC70024,0,13,6,18,0,12,3,13,3,16,3,23,5,16,4,25,15,22,12,50,4,25,3,37,5,14,13,39,0,12,0,10,0,0,0,0,35,122,47,212,3,11,0,9,0,10,3,13,5,21,6,27,5,11,13,27,8,28,3,40,10,16,4,35,4,13,5,15,0,0,0,7,0,4,0,4,38,117,35,187,3,23,3,32,0,21,4,28,10,32,10,52,10,24,12,50,28,51,19,93,16,42,11,70,15,27,13,55,3,13,0,11,0,3,0,8,75,239,83,401
SSC70025,10,52,7,65,16,57,21,98,23,142,23,185,24,88,14,124,24,98,9,136,11,68,3,88,15,25,7,39,0,8,0,8,0,3,0,3,123,546,82,749,9,41,3,52,10,32,4,52,28,111,20,160,29,78,10,124,30,84,6,127,20,62,7,89,10,18,0,32,0,0,0,7,0,4,0,4,141,443,51,633,14,92,14,121,26,98,22,148,55,246,39,346,54,171,20,246,57,184,17,260,33,132,9,173,22,48,6,72,0,12,0,12,0,9,0,4,268,985,127,1381
SSC70026,4,23,3,24,4,20,4,28,3,33,4,40,8,41,8,57,17,60,5,82,15,46,7,68,5,30,4,37,4,8,0,15,0,3,0,3,58,263,41,363,4,11,3,22,0,21,5,28,5,24,3,35,25,28,3,57,28,38,3,67,14,35,11,59,11,23,0,35,3,5,3,11,0,4,0,4,95,192,32,316,12,34,4,47,8,43,7,56,9,56,8,73,35,71,10,116,42,93,12,150,29,78,22,122,12,56,7,72,3,16,8,22,0,4,0,4,147,455,71,675
SSC70027,7,64,5,76,8,85,10,103,34,227,16,275,25,166,11,200,16,85,14,113,4,43,3,52,5,12,0,17,0,10,0,12,0,4,0,4,98,681,58,844,11,49,6,63,14,93,9,112,46,229,19,293,42,142,13,198,15,57,7,84,10,45,6,58,5,23,4,33,0,19,3,23,0,0,0,0,140,651,65,860,12,110,13,136,19,178,20,214,77,448,36,562,64,301,26,395,32,145,22,200,14,86,11,108,10,37,4,53,0,28,6,29,0,4,0,3,240,1338,122,1696
SSC70028,0,10,0,12,0,8,0,8,0,17,0,16,3,11,0,15,5,6,0,12,0,10,0,10,0,3,0,3,0,0,0,0,0,0,0,0,7,65,0,77,0,3,0,3,0,10,0,10,0,10,0,13,3,9,0,10,0,7,0,9,0,9,0,9,0,0,0,0,0,0,0,0,0,0,0,0,7,49,0,59,0,19,0,20,0,20,0,20,0,21,0,24,4,19,0,23,8,18,0,23,0,15,0,15,0,7,0,7,0,0,0,0,0,0,0,0,16,115,0,131
SSC70029,6,49,11,59,0,25,3,27,11,30,3,43,5,29,9,43,12,40,8,58,10,31,16,56,3,22,10,33,3,3,0,5,0,0,0,0,49,221,57,334,18,32,12,58,3,13,0,21,3,28,7,42,5,35,3,41,7,31,9,51,7,22,9,41,3,14,10,24,0,3,0,4,0,0,0,0,45,185,56,280,24,79,15,116,4,35,10,52,11,60,15,89,11,62,14,81,20,65,21,108,19,50,23,98,6,36,14,61,4,3,0,9,0,3,0,3,100,403,115,618
SSC70030,5,12,10,31,3,15,0,18,3,54,8,64,11,43,11,67,10,37,8,61,8,53,8,68,8,18,6,27,0,5,0,7,0,0,0,0,51,238,44,335,0,12,7,25,3,20,3,31,3,35,3,44,13,41,12,69,19,31,7,54,8,23,9,41,3,17,4,24,0,3,0,3,0,0,0,0,54,194,42,290,11,29,17,51,8,30,8,44,10,93,9,109,27,88,22,134,29,69,15,115,22,76,13,110,14,32,10,53,0,10,0,10,0,0,0,3,109,431,88,630
SSC70031,0,18,0,18,0,28,4,31,0,40,0,44,3,27,0,29,0,22,0,22,0,16,0,16,0,3,0,3,0,0,0,0,0,0,0,0,7,159,5,174,0,26,0,26,0,30,0,30,0,49,0,49,0,27,0,27,0,32,3,34,3,11,0,12,0,9,0,9,0,0,0,0,0,0,0,0,3,184,3,189,0,45,0,45,0,55,5,60,0,90,0,96,3,56,0,64,0,55,3,56,4,28,0,27,0,11,0,11,0,0,0,0,0,0,0,0,11,345,7,361
SSC70032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3
SSC70033,0,5,3,13,0,8,0,9,3,15,4,21,0,10,0,12,0,8,0,10,0,4,0,4,0,3,0,3,0,0,0,0,0,0,0,0,3,53,8,62,0,7,0,11,0,3,0,3,3,13,0,20,3,12,0,15,0,14,0,14,0,3,0,5,0,3,0,3,0,3,0,3,0,0,0,0,4,64,6,70,0,18,3,17,0,12,0,12,4,26,3,35,3,21,0,25,0,18,3,21,0,11,0,10,0,7,0,7,0,3,0,3,0,3,0,3,6,115,10,131
SSC70034,0,0,0,3,0,4,0,6,6,6,4,15,0,3,0,7,0,0,0,5,0,7,7,10,0,0,0,0,0,3,0,3,0,0,0,0,7,28,15,46,0,3,0,3,0,0,0,0,6,0,0,8,0,3,0,3,0,0,5,3,0,6,0,4,0,3,0,3,0,0,0,0,0,0,0,0,10,14,12,30,0,3,4,6,0,5,0,9,13,4,5,19,0,8,0,14,0,0,4,10,3,12,7,18,0,4,0,4,0,3,0,3,0,0,0,0,13,42,23,75
SSC70035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC70036,0,0,0,0,0,0,0,0,0,3,0,3,0,4,0,5,0,3,0,7,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,10,3,13,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,7,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,7,4,16,0,3,0,3,0,0,0,0,0,4,0,3,3,7,3,7,3,3,0,5,0,0,0,3,0,3,0,3,0,0,0,0,0,0,0,0,4,18,8,28
SSC70037,3,36,6,46,7,17,3,32,9,54,6,71,3,51,3,54,6,38,7,45,3,27,3,40,3,16,0,18,0,6,3,9,0,0,0,0,37,262,36,329,0,27,0,36,5,35,6,37,10,47,0,59,3,51,7,59,6,39,3,52,5,24,4,31,0,15,0,15,0,5,0,3,0,0,0,0,33,243,22,294,3,65,12,79,8,53,9,70,24,103,6,132,6,102,5,113,13,79,6,99,10,52,10,71,3,32,0,40,0,11,3,16,0,0,0,0,64,505,52,621
SSC70038,0,0,7,7,0,0,9,9,0,4,0,9,3,0,3,4,0,5,5,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,21,37,0,6,9,13,0,0,3,8,0,3,7,7,0,0,0,3,0,3,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,20,33,0,6,9,11,0,0,11,14,0,8,8,14,3,0,0,6,0,9,5,15,0,3,0,3,0,0,0,0,0,3,0,3,0,0,0,0,3,25,35,66
SSC70039,25,70,13,103,10,76,14,102,32,173,36,244,55,118,28,194,49,150,26,219,47,132,26,205,17,63,18,100,7,18,9,32,0,5,0,11,237,808,163,1206,26,65,14,108,22,56,15,94,50,181,36,265,55,130,34,224,65,164,24,251,60,123,29,215,21,59,16,93,9,21,3,27,0,9,7,12,308,810,177,1295,49,138,24,213,33,135,27,193,81,353,72,511,108,251,64,422,115,308,54,469,103,261,53,421,40,119,38,193,14,35,7,60,0,18,3,20,540,1619,344,2504
SSC70040,6,24,9,36,10,62,31,101,24,105,34,164,23,50,8,83,24,34,3,57,14,48,9,71,13,30,8,43,0,11,0,13,0,3,0,3,115,366,97,583,14,20,4,41,10,25,12,48,33,102,22,151,21,39,3,71,19,35,3,62,24,61,4,82,9,26,10,37,7,14,3,20,0,3,0,3,137,316,57,509,16,51,11,76,21,84,40,151,60,203,55,317,51,95,12,152,40,69,9,115,38,110,9,155,20,49,10,84,4,23,3,32,0,3,0,3,253,684,154,1086
SSC70041,0,3,0,4,0,6,0,5,0,6,3,12,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,18,3,28,0,3,0,7,0,10,0,10,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,17,3,4,0,5,0,14,0,14,0,10,3,15,0,0,0,0,0,3,0,3,0,0,0,6,0,3,0,3,0,0,0,0,0,0,0,0,0,41,3,46
